"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - obsahuje všechny; 'xyz*' - obsahuje všechny a začíná 'xyz' a není delší než %d."
"-- Please Select --","-- Prosím vyberte --"
"Add New Class","Přidat novou třídu"
"Add New Tax Rate","Přidat novou daňovou sazbu"
"Add New Tax Rule","Přidat nové daňové pravidlo"
"After Discount","Po slevě"
"Apply Customer Tax","Použít daňovou třídu zákazníka"
"Apply Discount On Prices","Použít slevu na ceny"
"Apply Discount on Price Including Tax is calculated based on store tax, if 'Apply Tax after Discount' is selected.","Použít slevu na cenu s daní je vypočtena na bázi daňové třídy, pokud je volba 'Aplikovat daně po slevě' vybrána."
"Apply Tax On","Použít daně na"
"Are you sure you want to do this?","Jste si jisti, že to chcete udělat?"
"Back","Zpět"
"Before Discount","Před slevou"
"CSV","CSV"
"Calculation Settings","Nastavení výpočtu"
"Catalog Prices","Katalogové ceny"
"Class Name","Jméno kategorie"
"Code","Kód"
"Country","Země"
"County","Země"
"Custom price if available","Vlastní cenu pokud je to možné"
"Customer Tax Class","Daňová třída zákazníka"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Customer Tax Classes","Daňová třída zákazníka"
"Default Country","Výchozí země"
"Default Post Code","Výchozí PSČ"
"Default State","Výchozí stav"
"Default Tax Destination Calculation","Výchozí výpočet daně původu"
"Delete Class","Smazat kategorii"
"Delete Rate","Smazat sazbu"
"Delete Rule","Smazat pravidlo"
"Display Prices","Zobrazit ceny"
"Display Product Prices In Catalog","Zobrazit ceny zboží v katalogu"
"Display Shipping Amount","Zobrazit cenu doručení"
"Display Shipping Prices","Zobrazit ceny doručení"
"Display Subtotal","Zobrazit mezisoučet"
"Display Zero Tax Subtotal","Zobrazit nulový součet daně"
"Display full tax summary","Zobrazit celkové daně"
"Edit Class","Upravit třídu"
"Edit Class '%s'","Upravit třídu '%s'"
"Edit Rule","Upravit pravidlo"
"Edit Tax Rate","Upravit daňovou sazbu"
"Error while deleting this class. Please try again later.","Chyba při mazání této třídy. Prosím zkuste to později."
"Error while deleting this rate. Incorrect rate ID","Chyba při mazání této sazby. Chybné ID sazby"
"Error while deleting this rate. Please try again later.","Chyba při mazání sazby. Prosím zkuste to později."
"Error while deleting this tax rule. Please try again later.","Chyba při mazání tohoto daňového pravidla. Prosím zkuste to později."
"Error while saving this rate. Please try again later.","Chyba při ukládání sazby. Prosím zkuste to později."
"Error while saving this tax class. Class with the same name ","Chyba při ukládání této daňové třídy. Třída se stejným jménem "
"Error while saving this tax class. Please try again later.","Chyba při ukládání daňové kategorie. Prosím zkuste to později."
"Error while saving this tax rule. Please try again later.","Chyba při ukládání daňových pravidel. Prosím zkuste to později."
"Excl. Tax","Bez daně"
"Excl. Tax:","Bez daně:"
"Excluding Tax","Bez daně"
"Excluding tax","Bez daně"
"Export Tax Rates","Exportovat daňové sazby"
"Grand Total (Excl. Tax)","Celkem (bez daně)"
"Grand Total (Excl.Tax)","Celkem (bez daně)"
"Grand Total (Incl. Tax)","Celkem (s daní)"
"Grand Total (Incl.Tax)","Celkem (s daní)"
"Grand Total Excl. Tax","Celkem bez daně"
"Grand Total Incl. Tax","Celkem s daní"
"Import / Export Tax Rates","Import / Export daňových sazeb"
"Import Tax Rates","Import daňových sazeb"
"Inc. Tax","S daní"
"Incl. Tax","S daní"
"Incl. Tax:","S daní:"
"Include Tax In Grand Total","Zahrnout daň v celkovém součtu"
"Including Tax","S daní"
"Including and excluding tax","S a bez daně"
"Including tax","S daní"
"Invalid file format upload attempt","Chybný typ nahrávaného souboru"
"Invalid file upload attempt","Chybný nahrávaný soubor"
"Manage Customer Tax Classes","Spravovat zákaznické daňové kategorie"
"Manage Product Tax Classes","Spravovat produktové daňové kategorie"
"Manage Tax Rates","Spravovat daňové sazby"
"Manage Tax Rules","Spravovat daňová pravidla"
"Manage Tax Zones & Rates","Spravovat daňové sazby"
"Name","Název"
"New Class","Nová třída"
"New Rule","Nové pravidlo"
"New Tax Rate","Nová daňová sazba"
"No","Ne"
"None","Žádné"
"One of the country has invalid code.","Jeden z řádků obsahuje chybný kód země."
