"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"(Will make search for the query above return results for this search.)","(Vyrobit hledání nad výsledky vrácené tímto dotazem.)"
"* Required Fields","* Povinná pole"
"-- Please Select --","-- Prosím vyberte --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Výchozí hodnota, pokud není vyplněno je 86400. Chcete-li aktualizovat okamžitě, dejte vymazat cache bloků HTML."
"A name is required","Je požadováno jméno"
"ALL GROUPS","VŠECHNY SKUPINY"
"AM","Dop."
"Action","Událost"
"Add Attribute","Přidat vlastnost"
"Add Design Change","Přidat změnu vzhledu"
"Add Group","Přidat skupinu"
"Add New","Přidat nové"
"Add New Attribute","Přidat novou vlastnost"
"Add New Attribute Set","Přidat novou množinu vlastností"
"Add New Group","Přidat novou skupinu"
"Add New Images","Přidat nové obrázky"
"Add New Option","Přidat novou možnost"
"Add New Row","Přidat nový řádek"
"Add New Search Term","Přidat nový výraz hledání"
"Add New Set","Přidat novou množinu"
"Add Product","Přidat produkt"
"Add Product To Websites","Přidat produkt na stránky"
"Add Root Category","Přidat novou hlavní kategorii"
"Add Subcategory","Přidat podkategorii"
"Add Tax","Přidat daň"
"Add Tier","Přidat slevu"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Additional Information","Další informace"
"Alert Urls","Varování url"
"All","Vše"
"All Product Types","Všechny typy produktů"
"All Websites","Všechny stránky"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Všechny produkty z této množiny budou smazány! Jste si jisti, že chcete smazat tuto množinu atributů?"
"Allow All Products per Page","Dovolit všechny produkty na stránku"
"Allow HTML-tags on Front-end","Povolit HTML značky v obchodě"
"Allowed File Extensions","Povolené přípony souboru"
"Allowed file extensions to upload","Povolené přípony souboru pro nahrávání"
"Anchor Custom Text","Vlastní text kotvy"
"Anchor Custom Title","Vlastní nadpis kotvy"
"Apply To","Použít na"
"Approved","Schválený"
"Are you sure you want to delete this category?","Jste si jisti, že chcete smazat tuto kategorii?"
"Are you sure you would like to remove all products from your comparison?","Jste si jisti, že chcete odstranit všechny položky k porovnání?"
